tconst,primaryTitle
tt0093611,The Adventures of Oliver Twist
tt0093743,Pinocchio and the Emperor of the Night
tt0093896,Rupan III: The Fuma Conspiracy
tt0094205,Ubu and the Big Thug
tt0094238,Valhalla
tt0094269,Vincent
tt0094377,Zima w dolinie Muminkow
tt0094625,Akira
tt0094904,Computer Dreams
tt0094939,Daffy Duck's Quackbusters
tt0094954,David and the Magic Pearl
tt0095262,Mobile Suit Gundam: Char's Counterattack
tt0095327,Grave of the Fireflies
tt0095431,Katy Meets the Aliens
tt0095448,Kimagure Orange Road: I Want to Return to That Day
tt0095489,The Land Before Time
tt0095512,Legend of the Galactic Heroes: My Conquest is the Sea of Stars
tt0095525,Gandahar
tt0095715,Alice
tt0095776,Oliver & Company
tt0095894,Pound Puppies and the Legend of Big Paw
tt0096209,Turning Table
tt0096283,My Neighbor Totoro
tt0096353,Urusei Yatsura 5: The Final Chapter
tt0096438,Who Framed Roger Rabbit
tt0096742,Town Musicians of Bremen
tt0096787,All Dogs Go to Heaven
tt0096842,Asterix and the Big Fight
tt0096866,The BFG
tt0096869,Babar: The Movie
tt0097067,City Hunter: .357 Magnum
tt0097411,Garaga
tt0097757,The Little Mermaid
tt0097814,Kiki's Delivery Service
tt0098077,Peraustrínia 2004
tt0098189,The Journey to Melonia
tt0098426,Sárkány és papucs
tt0098598,Willy the Sparrow
tt0098692,Wicked City
tt0099285,Colargol zdobywca kosmosu
tt0099410,Despertaferro
tt0099472,DuckTales the Movie: Treasure of the Lost Lamp
tt0099524,Evil Toons
tt0099733,Happily Ever After
tt0099878,Jetsons: The Movie
tt0100194,Motýlí cas
tt0100281,The Nutcracker Prince
tt0100339,Patlabor: The Movie
tt0100356,Peter in Magicland
tt0100477,The Rescuers Down Under
tt0100912,Werner - Beinhart!
tt0101329,An American Tail: Fievel Goes West
tt0101414,Beauty and the Beast
tt0101418,Beertje Sebastiaan: De geheime Opdracht
tt0101583,"Ranma ½: The Movie, Big Trouble in Nekonron, China"
tt0101927,War of the Birds
tt0102184,Charlie Strapp and Froggy Ball Flying High
tt0102371,The Magic Riddle
tt0102587,Only Yesterday
tt0102802,Rock-A-Doodle
tt0102812,Roujin Z
tt0102813,Rover Dangerfield
tt0103178,Urusei Yatsura 6: Always My Darling
tt0103223,To Want to Fly
tt0103609,The Magic Voyage
tt0103639,Aladdin
tt0103783,Bebe's Kids
tt0103837,Blinky Bill: The Mischievous Koala
tt0104009,Cool World
tt0104254,FernGully: The Last Rainforest
tt0104298,Freddie as F.R.O.7.
tt0104401,Heathcliff: The Movie
tt0104604,"Ranma ½: The Movie 2, Nihao My Concubine"
tt0104622,Der kleene Punker
tt0104623,Das kleine Gespenst
tt0104652,Porco Rosso
tt0104740,Little Nemo: Adventures in Slumberland
tt0105026,November Days
tt0105616,Tom and Jerry: The Movie
tt0105654,The Tune
tt0106364,Batman: Mask of the Phantasm
tt0106417,Sailor Moon R: The Movie: The Promise of the Rose
tt0106421,Black Jack: The Movie
tt0107289,The Jungle Creature: Hugo
tt0107345,Unkai no meikyû zegai
tt0107382,Legend of the Galactic Heroes: Overture to a New War
tt0107688,The Nightmare Before Christmas
tt0107692,Ninja Scroll
tt0107745,Once Upon a Forest
tt0107875,The Princess and the Goblin
tt0108069,The Secret Adventures of Tom Thumb
tt0108395,A Troll in Central Park
tt0108461,Urotsukidoji: Legend of the Overfiend
tt0108526,We're Back! A Dinosaur's Story
tt0109057,Ai City
tt0109162,Asterix in America
tt0109277,Sailor Moon S: The Movie - Hearts in Ice
tt0109553,Darkside Blues
tt0109781,Faust
tt0109791,Felidae
tt0109872,Fatal Fury: The Motion Picture
tt0110008,Pom Poko
tt0110357,The Lion King
tt0110763,The Pagemaster
tt0110914,Pumuckl und der blaue Klabauter
tt0111333,The Swan Princess
tt0111392,Ten
tt0111419,Thumbelina
tt0112274,The Secret Weapon
tt0112389,The Thief and the Cobbler
tt0112453,Balto
tt0112513,Sailor Moon SuperS: The Movie: Black Dream Hole
tt0112545,The Seventh Brother
tt0112862,The Diary of Anne Frank
tt0113198,A Goofy Movie
tt0113234,Gumby: The Movie
tt0113568,Ghost in the Shell
tt0113799,Memories
tt0113824,Whisper of the Heart
tt0114108,The Pebble and the Penguin
tt0114148,Pocahontas
tt0114349,The Real Shlemiel
tt0114556,Storybook
tt0114563,Street Fighter II: The Animated Movie
tt0114689,Catnapped! The Movie
tt0114709,Toy Story
tt0115509,All Dogs Go to Heaven 2
tt0115641,Beavis and Butt-Head Do America
tt0116583,The Hunchback of Notre Dame
tt0116683,James and the Giant Peach
tt0116728,Hugo: The Movie Star
tt0117348,La plante humaine
tt0117705,Space Jam
tt0117876,Tenchi the Movie - Tenchi Muyo in Love
tt0118138,Werner - Das muss kesseln!!!
tt0118200,X
tt0118617,Anastasia
tt0118829,Cats Don't Dance
tt0119170,The Fearless Four
tt0119273,Heavy Metal 2000
tt0119282,Hercules
tt0119346,I Married a Strange Person!
tt0119406,Jungle Emperor Leo
tt0119471,Kleines Arschloch
tt0119698,Princess Mononoke
tt0119899,Pippi Longstocking
tt0120363,Toy Story 2
tt0120587,Antz
tt0120623,A Bug's Life
tt0120630,Chicken Run
tt0120691,H.C. Andersen's The Long Shadow
tt0120733,Lion of Oz
tt0120762,Mulan
tt0120794,The Prince of Egypt
tt0120800,Quest for Camelot
tt0120855,Tarzan
tt0120910,Fantasia 2000
tt0120913,Titan A.E.
tt0120917,The Emperor's New Groove
tt0121164,Corpse Bride
tt0121387,Snow White
tt0121431,Johnny Corncob
tt0122227,Treasure Island Part II: Captain Flint's Treasure
tt0122494,How the Toys Saved Christmas
tt0122511,The Gnomes Great Adventure
tt0122735,Lucky and Zorba
tt0124147,Dreaming of Paradise
tt0124247,The Magic Pearl
tt0124770,Patlabor 2: The Movie
tt0125037,A Chinese Ghost Story: The Tsui Hark Animation
tt0125494,Kenya Boy
tt0126029,Shrek
tt0127159,Prince Piwi
tt0127331,Trællene
tt0127332,Trællenes børn
tt0127333,The Revolt of the Thralls
tt0127458,Benjamin Blümchen - Seine schönsten Abenteuer
tt0127745,The Puppetoon Movie
tt0128842,The Wiggles Movie
tt0129167,The Iron Giant
tt0129734,Captain of the Forest
tt0130623,Dinosaur
tt0130812,Die kleine Zauberflöte
tt0130847,Marco Polo Jr.
tt0131400,Footrot Flats: The Dog's Tale
tt0131472,Maria si Mirabella in Tranzistoria
tt0131479,Detective Conan: The Time Bombed Skyscraper
tt0131636,The Little Fox
tt0131704,The Adventures of Rocky & Bullwinkle
tt0132204,Hatschipuh
tt0132528,Spike and Mike's Hilarious Sick and Twisted Festival of Animation
tt0133240,Treasure Planet
tt0133930,Lapitch the Little Shoemaker
tt0134067,The Rugrats Movie
tt0134751,Jokes My Folks Never Told Me
tt0135037,Venus Wars
tt0135991,Dominator
tt0136748,Cassiopeia
tt0137201,Rudolph the Red-Nosed Reindeer: The Movie
tt0137226,The Treasure of Swamp Castle
tt0138613,Hot Dogs: Wau - wir sind reich!
tt0138749,The Road to El Dorado
tt0138877,Tiny Heroes
tt0139661,Os Trapalhões no Rabo do Cometa
tt0139662,Os Trapalhões no Reino da Fantasia
tt0140349,A little witch
tt0140648,Final Yamato
tt0140703,Be Forever Yamato
tt0141843,Sorcerers
tt0142233,Dragon Ball Z: Tree of Might
tt0142240,Dragon Ball Z: The World's Strongest
tt0142242,Dragon Ball Z: Broly - The Legendary Super Saiyan
tt0142250,Dragon Ball: The Path to Power
tt0142307,General Chaos: Uncensored Animation
tt0142371,Fist of the North Star
tt0142632,Mattie the Goose-Boy
tt0144608,Sinbad: Beyond the Veil of Mists
tt0145891,Daisy Town
tt0145899,Wilhelm Busch - Die Trickfilm-Parade: Max und Moritz und andere Streiche
tt0146063,The Princess and the Pea
tt0146457,Bad Baby
tt0149893,Birth
tt0150844,Armageddon: The Great Battle with Genma
tt0151590,Misi Mókus kalandjai
tt0152979,Tenchi the Movie 2: The Daughter of Darkness
tt0154051,Éljen Szervác!
tt0155858,"Maria, Mirabella"
tt0156279,Alì Babà
tt0156887,Perfect Blue
tt0156945,The Return of the North Wind
tt0158568,Crusher Joe: The Movie
tt0158628,Gall Force: Eternal Story
tt0158780,The Mighty Kong
tt0158983,"South Park: Bigger, Longer & Uncut"
tt0159387,Kindan no mokushiroku Crystal Triangle
tt0159443,Five Star Stories
tt0159508,Mobile Suit Gundam 0083: The Afterglow of Zeon
tt0159509,Mobile Suit Gundam I
tt0159510,Mobile Suit Gundam II: Soldiers of Sorrow
tt0159511,Mobile Suit Gundam III: Encounters in Space
tt0159568,Mobile Suit Gundam F91
tt0160429,The King and I
tt0160558,Nadia: The Secret of Blue Water - The Motion Picture
tt0160869,Silent Möbius 2
tt0161107,Yawara! Sore yuke koshinuke kizzu!
tt0161122,Odin
tt0161730,Kacor király
tt0161978,Slayers Great
tt0161979,Slayers Return
tt0161981,Slayers
tt0162327,The Flying Windmill
tt0163080,The Magic Pudding
tt0163388,Soriton no akuma
tt0163494,Space Adventure Cobra
tt0164564,...ere erera baleibu izik subua aruaren...
tt0164724,The Last Revenge
tt0164917,Spriggan
tt0165982,Sinbad: Legend of the Seven Seas
tt0166090,Babar: King of the Elephants
tt0166227,Jacek i Placek
tt0166276,Monkeybone
tt0166350,Gurin with the Foxtail
tt0166813,Spirit: Stallion of the Cimarron
tt0166948,The Adventures of the American Rabbit
tt0167770,Dot and Santa Claus
tt0168473,Babes in Toyland
tt0168856,A Fish Tale
tt0169858,Neon Genesis Evangelion: The End of Evangelion
tt0169880,Neon Genesis Evangelion: Death & Rebirth
tt0170180,Lupin III: Dead or Alive
tt0170181,Lupin III: Farewell to Nostradamus
tt0171048,Agaton Sax and the Bykoebing Village Festival
tt0171357,Barefoot Gen 2
tt0173735,Circleen: City Mice
tt0173840,Final Fantasy: The Spirits Within
tt0178501,Il giro del mondo degli innamorati di Peynet
tt0179829,Go to Hell!!
tt0179955,Cat City
tt0181503,Agigongryong Doolie
tt0181627,Kirikou and the Sorceress
tt0181739,Osmosis Jones
tt0183902,Tobias and His Lion
tt0184005,Werner - Volles Rooäää!!!
tt0184596,Hundhotellet
tt0184653,The Bloody Lady
tt0184748,Moon Madness
tt0184872,Rurouni Kenshin: Requiem for the Ishin Patriots
tt0184881,"Adieu, Galaxy Express 999: Last Stop Andromeda"
tt0185359,Firebird: Karma Chapter
tt0185389,Time Stranger
tt0185429,"Like the Clouds, Like the Wind"
tt0186721,Yuki
tt0187189,Joë petit boum-boum
tt0187687,Aladdin & The Magic Lamp
tt0187781,B.C. Rock
tt0187819,Doug's 1st Movie
tt0188404,Dexter the Dragon & Bumble the Bear
tt0188506,Le château des singes
tt0188530,Los cuatro secretos
tt0188535,Cyborg 009: Legend of the Super Galaxy
tt0189171,Triton of the Sea
tt0189973,Lupin III: Burning Memory - Tokyo Crisis
tt0190270,Black Jack 2: Pinoko ai shiteru
tt0190641,Pokémon: The First Movie - Mewtwo Strikes Back
tt0191280,Mighty Mouse in the Great Space Chase
tt0191400,Revenge of the Humanoids
tt0191563,Tiki Tiki
tt0193253,Jin-Roh: The Wolf Brigade
tt0195644,"Dick Deadeye, or Duty Done"
tt0196502,Dibu 2: La venganza de Nasty
tt0196503,Dibu: The Movie
tt0197633,Live Freaky Die Freaky
tt0198781,"Monsters, Inc."
tt0199789,Muratti und Sarotti - Die Geschichte des deutschen Animationsfilms 1920 bis 1960
tt0199898,Old Master Q 2001
tt0200613,L'eroe dei due mondi
tt0201183,Feng shen bang
tt0202239,Aladdin and the Magic Lamp
tt0202287,Carnivale
tt0202393,Adventures of the Polar Cubs
tt0202452,"Leif Erickson, Discoverer of North America"
tt0202463,Aesop's Fables
tt0202536,Puss in Boots
tt0203237,Yu Yu Hakusho: Fight for the Netherworld
tt0203895,Sea Prince and the Fire Child
tt0203908,Il signor Rossi cerca la felicità
tt0204034,Voltage Fighter Gowcaizer
tt0204365,White Wolf
tt0204460,Makoto-chan
tt0204541,Thumbelina
tt0204704,Space Battleship Yamato
tt0205281,Magic Adventure
tt0205451,Tenchi Forever!: The Movie
tt0206013,My Neighbors the Yamadas
tt0206366,Les trois mousquetaires
tt0206367,The Trumpet of the Swan
tt0206827,In the Aftermath
tt0208298,The Miracle Maker
tt0208663,Abra Cadabra
tt0208870,"Cóndor Crux, la leyenda"
tt0208997,Goomer
tt0209489,Wrath of the Ninja: The Yotoden Movie
tt0210234,Pokémon the Movie 2000
tt0210654,Donald Duck's Summer Magic
tt0211065,The Little Train
tt0211310,City Hunter: Death of the Vicious Criminal Ryo Saeba
tt0212114,Donald Duck's Cartoon Mania
tt0212116,Donald Duck's Fun Festival
tt0212599,Walt Disney's Cartoon Carousel
tt0213159,Pippi's Adventures on the South Seas
tt0213203,Rugrats in Paris
tt0213268,Superstar Goofy
tt0214468,Space Armageddon
tt0215088,Blue Seagull
tt0215479,"Ahmed, Prince of Alhambra"
tt0215919,Käpt'n Blaubär - Der Film
tt0216651,Vampire Hunter D: Bloodlust
tt0216859,Kochira Katsushika-ku Kameari kôen mae hashutsujo: The Movie
tt0217590,The Adventures of Mowgli
tt0218108,Circleen: Mice and Romance
tt0218170,Egérút
tt0220053,Socialisation of a Bull
tt0220099,The Tigger Movie
tt0220450,Everybody Rides the Carousel
tt0222054,John the Fearless
tt0222225,Il nano e la strega
tt0222724,Anne Frank's Diary
