tconst,primaryTitle
tt0068742,Innocent Bystanders
tt0068748,The Mysterious Island
tt0068752,J.C.
tt0068762,Jeremiah Johnson
tt0068766,Jin xuan feng
tt0068783,El juez de la soga
tt0068791,Kadoyng
tt0068803,Sacred Knives of Vengeance
tt0068815,Lone Wolf and Cub: Sword of Vengeance
tt0068816,Lone Wolf and Cub: Baby Cart at the River Styx
tt0068821,The Delightful Forest
tt0068832,The Last Decameron: Adultery in 7 Easy Lessons
tt0068864,The Little Ark
tt0068866,Living Free
tt0068907,Man and Boy
tt0068927,Massagesalon der jungen Mädchen
tt0068935,The Way of the Dragon
tt0068938,Mere Jeevan Saathi
tt0068976,Mramornyy dom
tt0068990,Napoleon and Samantha
tt0069022,Northeast of Seoul
tt0069091,Piranha
tt0069095,All the Way Boys
tt0069113,The Poseidon Adventure
tt0069187,De Robins en het Robot komplot
tt0069197,The Call of the Wild
tt0069229,Treasure Island
tt0069232,Der Schrei der schwarzen Wölfe
tt0069240,Sechse kommen durch die Welt
tt0069277,Sjors en Sjimmie en de Rebellen
tt0069289,Snoopy Come Home
tt0069302,Sotto a chi tocca!
tt0069344,Tarzan and the Brown Prince
tt0069345,Green Inferno
tt0069383,Tintin and the Lake of Sharks
tt0069403,Trap on Cougar Mountain
tt0069404,Travels with My Aunt
tt0069426,The Twilight People
tt0069436,Ulzana's Raid
tt0069437,Fifteen Year Old Captain
tt0069478,Vuk samotnjak
tt0069509,The Woman Hunt
tt0069515,The Wrath of God
tt0069536,White Fang
tt0069541,Robinson Crusoe
tt0069547,What Am I Doing in the Middle of a Revolution?
tt0069702,Ambush
tt0069729,The Arena
tt0069743,Aus dem Leben eines Taugenichts
tt0069746,Avengers of the Reef
tt0069747,The Mad Adventures of Rabbi Jacob
tt0069748,Babusca's Adventures
tt0069776,The Belstone Fox
tt0069783,Beyond Atlantis
tt0069785,Big Zapper
tt0069800,The Blazing Ninja
tt0069809,Die blutigen Geier von Alaska
tt0069826,"Here We Go Again, Eh Providence?"
tt0069833,Chino
tt0069837,Those Dirty Dogs
tt0069864,Chabelo y Pepito detectives
tt0069880,Chyornyy kapitan
tt0069914,Confessions of a Young American Housewife
tt0069934,Csínom Palkó
tt0069938,The Iron Bodyguard
tt0069956,Sacrifice!
tt0069974,Digby: The Biggest Dog in the World
tt0069986,The Doll Squad
tt0070006,Two Sane Nuts
tt0070016,Charlotte's Web
tt0070030,Emperor of the North
tt0070060,The Son of Zorro
tt0070087,Wit's End
tt0070090,The Down-in-the-Hole Gang
tt0070093,Gawain and the Green Knight
tt0070106,Ghost in the Noonday Sun
tt0070118,Yuka
tt0070122,Godzilla vs. Megalon
tt0070124,Gordon's War
tt0070140,Le guerriere dal seno nudo
tt0070192,Die Hosen des Ritters Bredow
tt0070205,I Escaped from Devil's Island
tt0070233,Ivan Vasilyevich Changes His Profession
tt0070250,Juan Moreira
tt0070271,Kincskeresö kisködmön
tt0070301,A Man Called Tiger
tt0070307,"Robin Hood, Arrows, Beans and Karate"
tt0070326,The Little Mermaid
tt0070328,Live and Let Die
tt0070337,Lost Horizon
tt0070371,Marco
tt0070413,Moscow: Cassiopea
tt0070416,Mister Kingstreet's War
