tconst,primaryTitle
tt0076185,In the Name of the Pope King
tt0076196,Inkognito iz Peterburga
tt0076219,Ivan the Terrible
tt0076244,Die Jugendstreiche des Knaben Karl
tt0076305,A Lei da Terra
tt0076342,MacArthur
tt0076390,My Daughter Hildegart
tt0076398,Operation Thunderbolt
tt0076552,Poedinok v tayge
tt0076696,The Chess Players
tt0076761,Steppe
tt0076842,Trini
tt0076855,"One Sings, the Other Doesn't"
tt0076946,Yuliya Vrevskaya
tt0077115,80 Hussars
tt0077138,The Tree of Wooden Clogs
tt0077149,Allegro barbaro
tt0077158,American Hot Wax
tt0077202,Bájecní muzi s klikou
tt0077211,La barricade du Point du Jour
tt0077283,The Mace with Three Seals
tt0077296,Caravans
tt0077421,Despair
tt0077426,A Deusa Negra
tt0077492,Hungarian Rhapsody
tt0077600,"... gdziekolwiek jestes, panie prezydencie..."
tt0077629,Gray Lady Down
tt0077764,The Mucker
tt0077787,Jörg Ratgeb - Painter
tt0077827,Lady Oscar
tt0077925,The Messiah
tt0077941,Molière
tt0077986,Newsfront
tt0078008,Northern Lights
tt0078065,Pasja
tt0078209,The Tailor from Ulm
tt0078283,Death of a President
tt0078347,Suprugi Orlovy
tt0078353,Deliver Us from Evil
tt0078389,The Thirty Nine Steps
tt0078429,Two Solitudes
tt0078514,"Yaroslavna, koroleva Frantsii"
tt0078532,Huso astgh
tt0078539,Between Two Wars
tt0078724,22 June 1897
tt0078737,Oh! The Nomugi Pass
tt0078831,The Battle of Chile: Part III
tt0078832,Partizanska eskadrila
tt0078876,"Ion: Blestemul pamîntului, blestemul iubirii"
tt0078918,The Bushido Blade
tt0078987,"Companys, procés a Catalunya"
tt0079004,Cózes ty za pani...
tt0079007,The Cuenca Crime
tt0079255,Götz von Berlichingen mit der eisernen Hand
tt0079386,Kaala Patthar
tt0079441,The Last Tasmanian
tt0079619,A Few Days from the Life of I.I. Oblomov
tt0079643,1922
tt0079687,The Outsider
tt0079730,Poema o krylyakh
tt0079761,The Red Sweater
tt0079878,Sekret Enigmy
tt0079907,Siberiade
tt0079920,The Brontë Sisters
tt0079958,Le strelle nel fosso
tt0080118,The War at Home
tt0080142,The Wobblies
tt0080180,Zulu Dawn
tt0080187,Élve vagy halva
tt0080310,Breaker Morant
tt0080316,The Battle of Port Arthur
tt0080393,Attila flagello di Dio
tt0080459,Bolshaya-malaya voyna
tt0080480,Burebista
tt0080491,Caligula
tt0080571,The Red Horse
tt0080616,Germany Pale Mother
tt0080649,Dorotej
tt0080682,Emperor Chien Lung and the Beauty
tt0080780,The Yellow Star: The Persecution of the Jews in Europe - 1933-1945
tt0080910,The Age of the Earth
tt0080953,Jesli serce masz bijace
tt0080979,Kagemusha
tt0081045,Levins Mühle
tt0081053,The Life and Times of Rosie the Riveter
tt0081059,The Lion of the Desert
