tconst,primaryTitle
tt0077195,The Year of the Plague
tt0077215,Battlestar Galactica
tt0077224,The Bermuda Triangle
tt0077269,The Boys from Brazil
tt0077278,Buck Rogers in the 25th Century
tt0077281,Blue Christmas
tt0077305,The Cat from Outer Space
tt0077408,Death Dimension
tt0077414,Deathsport
tt0077479,Dynamite Johnson
tt0077514,Az eröd
tt0077588,The Fury
tt0077640,The War of the Robots
tt0077745,Invasion of the Body Snatchers
tt0077756,It Lives Again
tt0077800,Killer Fish
tt0077834,Laserblast
tt0077877,The Lucifer Complex
tt0077904,The Manitou
tt0077921,The Medusa Touch
tt0077937,Mission Galactica: The Cylon Attack
tt0078062,The Clonus Horror
tt0078067,Patrick
tt0078087,Piranha
tt0078088,Plague
tt0078089,Planet of Dinosaurs
tt0078200,Sammy's Super T-Shirt
tt0078277,Spawn of the Slithis
tt0078317,Star Odyssey
tt0078346,Superman
tt0078357,The Secret of Steel City
tt0078370,TeenAlien
tt0078417,The Bermuda Triangle
tt0078435,Message from Space
tt0078460,Very Close Encounters of the Fourth Kind
tt0078474,Warlords of the Deep
tt0078487,Where's Willie?
tt0078530,Zoo zéro
tt0078549,See Here My Love
tt0078748,Alien
tt0078749,Alien 2: On Earth
tt0078869,The Black Hole
tt0078908,The Brood
tt0078924,C.H.O.M.P.S.
tt0078948,Dark Sun
tt0079027,The Dark
tt0079030,The Day It Came to Earth
tt0079200,Le gendarme et les extra-terrestres
tt0079225,Goldengirl
tt0079264,Die Hamburger Krankheit
tt0079285,Saturn 3
tt0079501,Mad Max
tt0079549,Metal Messiah
tt0079550,Meteor
tt0079573,Monstroid
tt0079574,Moonraker
tt0079714,Phantasm
tt0079715,The Phoenix
tt0079758,Prophecy
tt0079770,Quintet
tt0079777,Ravagers
tt0079894,The Shape of Things to Come
tt0079937,Spaced Out
tt0079944,Stalker
tt0079945,Star Trek: The Motion Picture
tt0079946,Starcrash
tt0080010,Pilot Pirx's Inquest
tt0080025,Time After Time
tt0080058,The Humanoid
tt0080095,I viaggiatori della sera
tt0080100,The Visitor
tt0080121,Warum die UFOs unseren Salat klauen
tt0080346,The Alien Dead
tt0080354,Alligator
tt0080360,Altered States
tt0080380,The Apple
tt0080421,Battle Beyond the Stars
tt0080513,The Chain Reaction
tt0080520,Cheech and Chong's Next Movie
tt0080527,The Children
tt0080596,The Day Time Ended
tt0080715,The Falls
tt0080736,The Final Countdown
tt0080745,Flash Gordon
tt0080771,Galaxina
tt0080806,Golem
tt0080836,Hangar 18
tt0080904,Humanoids from the Deep
tt0080915,Image of the Beast
tt0080931,Nightmare City
tt0080933,Island Claws
tt0080962,Deathquake
tt0081019,Crazy Thunder Road
tt0081182,Death Watch
tt0081203,Murder by Phone
tt0081220,Neco je ve vzduchu
tt0081314,Patrick Still Lives
tt0081421,The Return
tt0081455,Scanners
tt0081457,Scared to Death
tt0081518,Simon
tt0081572,The Six Thousand Dollar Nigger
tt0081573,Superman II
tt0081674,UFOria
tt0081675,"Gamera, Super Monster"
tt0081764,Without Warning
tt0081806,Zhong shen da shi
tt0081989,The Agency
tt0082000,Contamination
tt0082083,Blood Beach
tt0082094,The Boogens
tt0082223,Sensitive Spots
tt0082243,Strange Behavior
tt0082272,The Strange Case of Dr. Jekyll and Miss Osbourne
tt0082308,Earthbound
tt0082340,Escape from New York
tt0082381,Firebird 2015 AD
tt0082410,Frankenstein Island
tt0082466,Visitors from the Arkana Galaxy
tt0082507,Heartbeeps
tt0082558,The Incredible Shrinking Woman
tt0082559,Hell of the Living Dead
tt0082567,Io e Caterina
tt0082642,The Last Chase
tt0082668,Lo que vendrá
tt0082677,Looker
tt0082694,The Road Warrior
tt0082701,Malevil
tt0082733,Memoirs of a Survivor
tt0082763,Modern Problems
tt0082788,México 2000
tt0082815,Night of the Zombies
tt0082869,Outland
tt0082910,Piranha II: The Spawning
tt0083050,I Want To
tt0083109,The Cabbage Soup
tt0083197,Threshold
tt0083335,The War of the Worlds: Next Century
tt0083526,The Aftermath
tt0083530,Airplane II: The Sequel
tt0083557,Android
tt0083565,2020 Texas Gladiators
tt0083609,Burst City
tt0083658,Blade Runner
tt0083690,BrainWaves
tt0083694,Britannia Hospital
tt0083801,Deadly Eyes
tt0083866,E.T. the Extra-Terrestrial
tt0083959,Forbidden World
tt0084056,Health Warning
tt0084090,Horrorplanet
tt0084099,Human Highway
tt0084171,Jekyll and Hyde... Together Again
tt0084191,Kamikaze 89
tt0084315,The Masters of Time
tt0084316,Megaforce
tt0084424,Warriors of the Wasteland
tt0084468,Paradis pour tous
tt0084472,Parasite
tt0084540,The Prize of Peril
tt0084658,The Sender
tt0084679,Si las mujeres mandaran (o mandasen)
tt0084721,Srdecný pozdrav ze zemekoule
tt0084726,Star Trek II: The Wrath of Khan
tt0084745,Swamp Thing
tt0084787,The Thing
tt0084796,Time Walker
tt0084827,TRON
tt0084876,Voyager from the Unknown
tt0084887,Battletruck
tt0084945,Zapped!
tt0085124,1990: The Bronx Warriors
tt0085125,2019: After the Fall of New York
tt0085167,Angel of H.E.A.T.
tt0085224,The Being
tt0085267,Born in Flames
tt0085271,Brainstorm
tt0085392,"It's All Right, My Friend"
tt0085407,The Dead Zone
tt0085426,The Last Battle
tt0085453,Tomorrow We Dance
tt0085468,El E.T.E. y el Oto
tt0085472,Echtzeit
tt0085504,The Erotic and Wacky Tunnel of Time
tt0085514,The Exterminators of the Year 3000
tt0085540,The Final Executioner
tt0085627,I guerrieri dell'anno 2072
tt0085636,Halloween III: Season of the Witch
tt0085830,Legend of Dinosaurs and Monster Birds
tt0085852,Liquid Sky
tt0085894,The Man with Two Brains
tt0086013,Nightbeast
tt0086014,Nightmares
tt0086077,Pankow '95
tt0086135,Atlantis Interceptors
tt0086145,The Prodigal Planet
tt0086176,Rats: Night of Terror
tt0086222,Rush
tt0086247,Bye Bye Jupiter
tt0086345,Space Raiders
tt0086346,Spacehunter: Adventures in the Forbidden Zone
tt0086349,Spasms
tt0086373,Strange Brew
tt0086374,Strange Invaders
tt0086381,Stryker
tt0086409,Taking Tiger Mountain
