tconst,primaryTitle
tt0070524,Penny Gold
tt0070565,The Perfume of the Lady in Black
tt0070578,The Pyx
tt0070636,Satanico Pandemonium
tt0070641,Slap the Monster on Page One
tt0070689,Siddhartha
tt0070694,"Silent Night, Bloody Night"
tt0070698,Sisters
tt0070723,Soylent Green
tt0070779,Tender and Perverse Emanuelle
tt0070783,Terror in the Wax Museum
tt0070836,The Magnificent Dare Devil
tt0070916,"Wicked, Wicked"
tt0070917,The Wicker Man
tt0070959,State of Siege
tt0071086,5 donne per l'assassino
tt0071167,The Killer Reserved Nine Seats
tt0071185,Il baco da seta
tt0071200,The Beast Must Die
tt0071205,Benaam
tt0071222,Black Christmas
tt0071276,Captain Kronos: Vampire Hunter
tt0071278,Caravan to Vaccares
tt0071315,Chinatown
tt0071321,Christina
tt0071322,The Color of Iris
tt0071326,"Clap, You're Dead"
tt0071360,The Conversation
tt0071379,El cumpleaños del perro
tt0071405,Delitto d'autore
tt0071416,The Devil's Triangle
tt0071439,The Vengeance of Doctor Mabuse
tt0071471,Evil Eye
tt0071474,Esupai
tt0071537,Eyeball
tt0071549,Stranger and the Fog
tt0071629,The House on Skull Mountain
tt0071648,Il faut vivre dangereusement
tt0071684,Los jaguares contra el invasor misterioso
tt0071694,The Murdered Young Girl
tt0071722,A Knife for the Ladies
tt0071756,Lifespan
tt0071790,Madhouse
tt0071800,Compulsed
tt0071806,Man on a Swing
tt0071808,Blood Stains in a New Car
tt0071838,The Midnight Man
tt0071877,Murder on the Orient Express
tt0071950,Footprints on the Moon
tt0071989,Perversión
tt0072081,The Return of the Pink Panther
tt0072123,The Flower in His Mouth
tt0072131,The Secret
tt0072162,Un silencio de tumba
tt0072190,Sonar Kella
tt0072196,Spasmo
tt0072235,Sweet Movie
tt0072263,Ten Little Indians
tt0072270,Der Teufel in Miss Jonas
tt0072299,Todos los gritos del silencio
tt0072349,Puzzle
tt0072405,Who?
tt0072595,The Immortal Bachelor
tt0072709,Black Moon
tt0072710,A Black Ribbon for Deborah
tt0072735,Breakheart Pass
tt0072740,Diamonds for the Dictatorship of the Proletariat
tt0072750,Bug
tt0072780,Chisto angliyskoe ubiystvo
tt0072792,The Clown Murders
tt0072812,Conduct Unbecoming
tt0072876,Diagnosis: Murder
tt0072912,The Drowning Pool
tt0072937,Encounter with the Unknown
tt0072957,Evil Seducers
tt0072973,"Farewell, My Lovely"
tt0073024,Fugitive Lovers
tt0073133,Hustle
tt0073236,Khel Khel Mein
tt0073327,Autopsy
tt0073363,Manila in the Claws of Light
tt0073453,Night Moves
tt0073470,Strip Nude for Your Killer
tt0073491,Ordine firmato in bianco
tt0073514,Parapsycho - Spektrum der Angst
tt0073526,Peeper
tt0073540,Picnic at Hanging Rock
tt0073554,The Police Are Blundering in the Dark
tt0073582,Deep Red
tt0073583,Propavshaya ekspeditsiya
tt0073615,The Reincarnation of Peter Proud
tt0073655,The Bloodsucker Leads the Dance
tt0073739,The Spiral Staircase
tt0073747,The Stepford Wives
tt0073802,Three Days of the Condor
tt0073871,Reflections in Black
tt0074107,The Bricklayers
tt0074114,Alice or The Last Escapade
tt0074190,"Baxter, Vera Baxter"
tt0074258,Burnt Offerings
tt0074262,Illustrious Corpses
tt0074285,Carrie
tt0074287,The House with Laughing Windows
tt0074289,Casa dell'amore... la polizia interviene
tt0074348,Body of My Enemy
tt0074356,Creature from Black Lake
tt0074372,Dark August
tt0074423,The Sunday Woman
tt0074434,Drive in Massacre
tt0074440,The One Armed Swordsmen
tt0074443,Duelle
tt0074451,Plot of Fear
tt0074611,The Haunting of Julia
tt0074649,La casa de las sombras
tt0074691,The Inugami Family
tt0074732,The Raven
tt0074737,The Keeper
tt0074806,The Little Girl Who Lives Down the Lane
tt0074852,The Man Who Wouldn't Die
tt0074873,"Mary, Mary, Bloody Mary"
tt0074916,Mr. Klein
tt0074937,Murder by Death
tt0074953,Narda o el verano
tt0074959,The Net
tt0074971,Night of the Skull
tt0074979,Nine Guests for a Crime
tt0074985,The Night of Saint Germain des Pres
tt0074991,Obsession
tt0075005,The Omen
tt0075140,End of the Game
tt0075161,The Sailor Who Fell from Grace with the Sea
tt0075259,Spy Story
tt0075282,Summer of Secrets
tt0075291,A Whisper in the Dark
tt0075376,Up!
tt0075462,Who Can Kill a Child?
tt0075612,Three Women
tt0075614,Murder to the Tune of the Seven Black Notes
tt0075650,Akuma no temari-uta
tt0075672,The Amazing World of Psychic Phenomena
tt0075675,The American Friend
tt0075682,The Forbidden Room
tt0075809,The Car
tt0075814,The Girl in Room 2A
tt0075834,The Pyjama Girl Case
tt0075925,The Deep
tt0075930,God Told Me To
tt0075946,Tell Her That I Love Her
tt0075990,End of the World
tt0075995,Equus
tt0076038,Bloodbath
tt0076068,Watch Me When I Kill
tt0076090,The Devil's Island
tt0076141,High Anxiety
tt0076299,The Last Wave
tt0076301,The Late Show
tt0076313,Blood Relatives
tt0076397,Mystery in the Bermuda Triangle
tt0076411,Il mostro
tt0076441,Naufragio
tt0076531,Death Steps in the Dark
tt0076670,Schizo
tt0076686,The Serpent's Egg
tt0076704,Shock Waves
tt0076709,Game of Death II
tt0076750,Sprawa Gorgonowej
tt0076776,Stunts
tt0076782,Summerfield
tt0076884,Hotel Fear
tt0076886,Violanta
tt0076909,Welcome to Blood City
tt0076960,À chacun son enfer
tt0077161,Question of Love
tt0077207,Broken Flag
tt0077224,The Bermuda Triangle
tt0077233,The Big Fix
tt0077234,The Big Sleep
tt0077269,The Boys from Brazil
tt0077272,Brass Target
tt0077304,The Cat and the Canary
tt0077317,The Song of Roland
tt0077321,The Cheap Detective
tt0077338,La ciudad maldita
tt0077339,Clan of Amazons
tt0077355,Coma
tt0077357,The Comeback
tt0077413,Death on the Nile
tt0077460,Doramundo
tt0077505,Red Rings of Fear
tt0077530,Eyes of Laura Mars
tt0077540,Feedback
tt0077559,Five Deadly Venoms
tt0077570,For Whom to Be Murdered
tt0077578,Foul Play
tt0077611,Atrocious Tales of Love and Death
tt0077707,The Hypothesis of the Stolen Painting
tt0077712,"I Miss You, Hugs and Kisses"
tt0077738,The School Teacher in the House
tt0077773,Queen Bee
tt0077816,Panic in High School
tt0077918,The Payoff
tt0077965,Mysteries
tt0078015,Eyes Behind the Stars
tt0078054,Beauty and the Beast
tt0078092,The Playbirds
tt0078163,Revenge of the Pink Panther
tt0078203,Sasquatch: The Legend of Bigfoot
tt0078220,Secrets of the Bermuda Triangle
tt0078288,The Bloodstained Shadow
tt0078294,Somebody Killed Her Husband
tt0078300,The Sister of Ursula
tt0078343,The Killer Nun
tt0078352,Swordsman and Enchantress
tt0078389,The Thirty Nine Steps
tt0078393,Bastard Swordsman
tt0078405,The Toolbox Murders
tt0078417,The Bermuda Triangle
tt0078441,Un si joli village...
tt0078488,Who Is Killing the Great Chefs of Europe?
tt0078546,"Ángela Morante, ¿crimen o suicidio?"
tt0078549,See Here My Love
tt0078736,Agatha
tt0078751,Alison's Birthday
tt0078788,Apocalypse Now
tt0078836,Bear Island
tt0078879,Bloodline
tt0078893,Dead End
tt0078934,Caniche
tt0079051,The Butterfly Murders
tt0079070,The Double McGuffin
tt0079120,Stigma
tt0079146,The Secret
tt0079189,Für Mord kein Beweis
tt0079207,Giallo in Venice
tt0079312,The House of Hanging
tt0079322,I... For Icarus
tt0079340,Indagine su un delitto perfetto
tt0079355,Jaani Dushman
tt0079404,The Adventures of Kosuke Kindaichi
tt0079428,The Lady Vanishes
tt0079437,Last Embrace
tt0079454,Legend of the Bat
tt0079482,Long Weekend
